,Age,Country,LanguageHaveWorkedWith,LearnCode
0,,,,
1,,Canada,JavaScript;TypeScript,
2,25-34 years old,United Kingdom of Great Britain and Northern Ireland,C#;C++;HTML/CSS;JavaScript;Python,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
3,35-44 years old,Israel,C#;JavaScript;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc)"
4,25-34 years old,United States of America,C#;HTML/CSS;JavaScript;SQL;Swift;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
5,25-34 years old,Germany,C++;Lua,"Books / Physical media;School (i.e., University, College, etc)"
6,Under 18 years old,India,C++;HTML/CSS;JavaScript;PHP;Python;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
7,18-24 years old,India,C;C++;HTML/CSS;Java;JavaScript;SQL,Online Courses or Certification
8,25-34 years old,Netherlands,,On the job training;Coding Bootcamp
9,45-54 years old,Croatia,Delphi;Java;Swift,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
10,18-24 years old,United Kingdom of Great Britain and Northern Ireland,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
11,35-44 years old,United States of America,C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL,"Other online resources (e.g., videos, blogs, forum)"
12,25-34 years old,United States of America,C;HTML/CSS;Rust;SQL;Swift;TypeScript,"School (i.e., University, College, etc)"
13,35-44 years old,Australia,Elixir;Erlang;HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc)"
14,25-34 years old,United States of America,HTML/CSS;JavaScript;PHP;Python;R;Ruby;Scala,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
15,25-34 years old,Russian Federation,Bash/Shell;HTML/CSS;JavaScript;SQL;TypeScript,Books / Physical media
16,25-34 years old,Czech Republic,C#;Java;PHP;Python;R,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague"
17,25-34 years old,Austria,Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
18,45-54 years old,Austria,C#;PowerShell;SQL,"Books / Physical media;School (i.e., University, College, etc);Online Courses or Certification;Coding Bootcamp"
19,18-24 years old,Serbia,C++;HTML/CSS;Java;JavaScript;Python,Books / Physical media;Coding Bootcamp;Colleague
20,25-34 years old,Austria,Bash/Shell;C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
21,25-34 years old,Italy,Python;SQL;TypeScript,Other (please specify):
22,35-44 years old,Canada,C#;SQL;TypeScript,Books / Physical media
23,25-34 years old,Netherlands,VBA,"Other online resources (e.g., videos, blogs, forum);Colleague;Other (please specify):"
24,55-64 years old,Israel,C#;C++;JavaScript;PHP;TypeScript,
25,25-34 years old,Germany,Dart;Go;Java;Kotlin;Swift;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
26,25-34 years old,United States of America,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
27,18-24 years old,Israel,C#;HTML/CSS;JavaScript;Rust;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
28,35-44 years old,United States of America,C;C++,"Books / Physical media;School (i.e., University, College, etc)"
29,45-54 years old,Ireland,C#;JavaScript;PowerShell;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training;Colleague;Other (please specify):"
30,,,,
31,55-64 years old,United States of America,C#;HTML/CSS;JavaScript;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);On the job training"
32,Under 18 years old,Canada,C++;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
33,18-24 years old,Israel,C++;Go;Python,"Friend or family member;Other online resources (e.g., videos, blogs, forum)"
34,25-34 years old,Poland,HTML/CSS;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
35,25-34 years old,Israel,MATLAB;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
36,25-34 years old,Canada,C#;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
37,35-44 years old,Israel,HTML/CSS;JavaScript;PHP;Python;Ruby,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)"
38,,Slovenia,HTML/CSS;JavaScript;Python;SQL,"Friend or family member;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
39,35-44 years old,Czech Republic,Bash/Shell;Groovy;HTML/CSS;Java;JavaScript;Perl;PHP;Scala;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
40,35-44 years old,United States of America,C#;C++;HTML/CSS;JavaScript;SQL;TypeScript;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
41,18-24 years old,Israel,Bash/Shell;HTML/CSS;Python;SQL,"Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification"
42,25-34 years old,Iraq,C#;HTML/CSS;JavaScript;PHP;Ruby;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Colleague"
43,35-44 years old,Sweden,,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
44,18-24 years old,Austria,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Python;R;SQL,"School (i.e., University, College, etc)"
45,25-34 years old,Madagascar,JavaScript;TypeScript,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
46,18-24 years old,Norway,Bash/Shell;C;C++;Java;Lua;Python,"Other online resources (e.g., videos, blogs, forum);Other (please specify):"
47,25-34 years old,United States of America,Java;JavaScript;PHP;SQL;TypeScript,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
48,55-64 years old,Germany,Haskell;Java;Rust,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
49,25-34 years old,Germany,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
50,25-34 years old,Czech Republic,Bash/Shell;Julia;Python,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
51,25-34 years old,Poland,Bash/Shell;HTML/CSS;Java;JavaScript;Python;Rust;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
52,18-24 years old,Czech Republic,Bash/Shell;Go;Java;Python,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
53,25-34 years old,United States of America,C#;HTML/CSS;JavaScript;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
54,25-34 years old,Norway,Bash/Shell;C#;HTML/CSS;Java;JavaScript;LISP;PowerShell;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)"
55,25-34 years old,United States of America,C#;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
56,25-34 years old,Taiwan,C++,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
57,25-34 years old,Netherlands,Bash/Shell;C#;HTML/CSS;PowerShell;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
58,25-34 years old,Hong Kong (S.A.R.),Dart;HTML/CSS;Java;Kotlin;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
59,25-34 years old,Germany,Assembly;Bash/Shell;C;HTML/CSS;JavaScript;PHP;Python;SQL,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Other (please specify):"
60,25-34 years old,Canada,Bash/Shell;C#;C++;HTML/CSS;Java;JavaScript;Kotlin;Python;Rust;TypeScript,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
61,25-34 years old,Mexico,Bash/Shell;HTML/CSS;Python,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp;Colleague;Other (please specify):"
62,35-44 years old,France,Groovy;Java;Kotlin,"Friend or family member;Other online resources (e.g., videos, blogs, forum)"
63,35-44 years old,United States of America,Bash/Shell;C;Go;HTML/CSS;Java;JavaScript;Python;Swift;TypeScript,"School (i.e., University, College, etc);Other (please specify):"
64,18-24 years old,France,C;C#;HTML/CSS;Java;JavaScript;PHP;R,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
65,18-24 years old,India,C#,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
66,45-54 years old,Brazil,C;C++;Delphi;HTML/CSS;Java;JavaScript,"School (i.e., University, College, etc);Colleague"
67,45-54 years old,Australia,C#;HTML/CSS;JavaScript;PHP;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
68,Under 18 years old,Lithuania,C++;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum);On the job training"
69,35-44 years old,Uruguay,Bash/Shell;HTML/CSS;Java;JavaScript;SQL;TypeScript,"Books / Physical media;School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
70,25-34 years old,Serbia,Java;Kotlin;PHP,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);On the job training;Online Courses or Certification;Coding Bootcamp"
71,18-24 years old,Poland,Bash/Shell;C;F#;Groovy;JavaScript;Python,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Hackathons (virtual or in-person)"
72,45-54 years old,United States of America,Java;SQL,Books / Physical media;Friend or family member
73,18-24 years old,Germany,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL,"Other online resources (e.g., videos, blogs, forum);On the job training"
74,35-44 years old,Sweden,C#;HTML/CSS;SQL;TypeScript,"School (i.e., University, College, etc)"
75,18-24 years old,Germany,Groovy;Java;Ruby,On the job training;Online Courses or Certification;Coding Bootcamp
76,35-44 years old,United States of America,C#;JavaScript;Python;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
77,65 years or older,United Kingdom of Great Britain and Northern Ireland,Java,Books / Physical media;Other (please specify):
78,25-34 years old,Serbia,HTML/CSS;JavaScript;PHP,"School (i.e., University, College, etc)"
79,25-34 years old,France,Bash/Shell;Clojure;Java;JavaScript;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification;Hackathons (virtual or in-person)"
80,25-34 years old,Denmark,Delphi,Books / Physical media;Friend or family member;Other (please specify):
81,35-44 years old,Netherlands,Bash/Shell;HTML/CSS;JavaScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);Online Courses or Certification;Coding Bootcamp"
82,25-34 years old,Germany,Java;R,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Colleague"
83,35-44 years old,Uruguay,HTML/CSS;JavaScript;Ruby;SQL;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
84,25-34 years old,United Kingdom of Great Britain and Northern Ireland,HTML/CSS;JavaScript;PowerShell;TypeScript,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
85,25-34 years old,United States of America,Bash/Shell;Java;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
86,,,,
87,25-34 years old,Spain,Bash/Shell;C#;Groovy;HTML/CSS;JavaScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum)"
88,35-44 years old,Germany,HTML/CSS;TypeScript,"Other online resources (e.g., videos, blogs, forum);On the job training"
89,25-34 years old,Sweden,C#;C++;PowerShell;Python,"School (i.e., University, College, etc)"
90,25-34 years old,France,Python;R;SQL,"Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
91,35-44 years old,France,C#;C++;Delphi;JavaScript,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
92,25-34 years old,Israel,Bash/Shell;C++;Go;HTML/CSS;Python;R,"Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
93,25-34 years old,United States of America,Bash/Shell;HTML/CSS;JavaScript;PHP;TypeScript,"School (i.e., University, College, etc);On the job training;Online Courses or Certification;Coding Bootcamp;Hackathons (virtual or in-person)"
94,25-34 years old,United Kingdom of Great Britain and Northern Ireland,Python;R,"School (i.e., University, College, etc)"
95,25-34 years old,United States of America,Bash/Shell;C;C++;Python,"Books / Physical media;School (i.e., University, College, etc);On the job training"
96,35-44 years old,Israel,Go;HTML/CSS;JavaScript;Ruby;Rust;SQL,"Other online resources (e.g., videos, blogs, forum);On the job training"
97,35-44 years old,United States of America,C#;HTML/CSS;Java;JavaScript;Python;SQL;VBA,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Hackathons (virtual or in-person)"
98,25-34 years old,Egypt,Swift,
99,25-34 years old,Turkey,C;C++;HTML/CSS;Java;JavaScript;MATLAB;Python;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
100,Under 18 years old,South Africa,APL;C++;Python,"Other online resources (e.g., videos, blogs, forum)"
101,25-34 years old,Germany,HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training"
102,25-34 years old,United Kingdom of Great Britain and Northern Ireland,C#;Python;SQL,"Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
103,35-44 years old,United States of America,JavaScript;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification;Colleague"
104,25-34 years old,Israel,C#;JavaScript;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);Online Courses or Certification"
105,25-34 years old,Italy,Go;HTML/CSS;JavaScript;SQL;TypeScript,"Other online resources (e.g., videos, blogs, forum)"
106,Under 18 years old,Canada,HTML/CSS;JavaScript;Python;TypeScript,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
107,25-34 years old,United States of America,Python;SQL;VBA,"School (i.e., University, College, etc);Other (please specify):"
108,25-34 years old,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;SQL,"Other online resources (e.g., videos, blogs, forum);Online Courses or Certification"
109,25-34 years old,Spain,C#;JavaScript;Kotlin;PowerShell;Rust;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Online Courses or Certification"
110,Under 18 years old,Ukraine,Go,Other (please specify):
111,25-34 years old,United Kingdom of Great Britain and Northern Ireland,C#;HTML/CSS;JavaScript;PowerShell;SQL,"School (i.e., University, College, etc)"
112,35-44 years old,Poland,Bash/Shell;PHP;Python;TypeScript,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)"
113,45-54 years old,United States of America,Bash/Shell;HTML/CSS;JavaScript;PHP;R;SQL,"Books / Physical media;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc);On the job training;Colleague"
