주소,count,lat,lng
서울특별시 마포구 서교동 415,690,37.5550711,126.9238244
서울특별시 성동구 성수동2가 277-72,671,37.54048,127.05601
서울특별시 성동구 성수동2가 314-20,559,37.54048,127.05601
서울특별시 마포구 서교동 406,426,37.5550711,126.9238244
서울특별시 마포구 서교동 349,374,37.5550711,126.9238244
서울특별시 성동구 성수동2가 275-24,354,37.54048,127.05601
서울특별시 성동구 성수동2가 280-48,339,37.54048,127.05601
서울특별시 강남구 역삼동 804,338,37.49988,127.03856
서울특별시 마포구 동교동 192-44,334,37.5571419,126.9261901
서울특별시 송파구 문정동 641-2,318,37.48434,127.12246
서울특별시 강남구 대치동 1011-12,310,37.49882,127.06566
서울특별시 강남구 대치동 1011-8,264,37.49882,127.06566
서울특별시 강남구 청담동 77,247,37.5257535,127.0523217
서울특별시 성동구 성수동2가 278-50,246,37.54048,127.05601
서울특별시 서초구 양재동 238,244,37.46838,127.0361
서울특별시 광진구 구의동 245-24,240,37.54417,127.09262
서울특별시 강남구 대치동 1012-111,230,37.5060617,127.0592588
서울특별시 용산구 한남동 738-29,222,37.53822,127.0074
서울특별시 강남구 논현동 279-110,222,37.5123018,127.0294935
서울특별시 마포구 망원동 453-9,215,37.55586,126.90087
서울특별시 관악구 봉천동 979-7,212,37.484665,126.9484961
서울특별시 강남구 삼성동 159-4,202,37.5147838,127.0543618
서울특별시 강남구 청담동 145,201,37.5257535,127.0523217
서울특별시 송파구 문정동 641-1,200,37.48434,127.12246
서울특별시 서초구 서초동 1748-51,199,37.48818,127.01751
서울특별시 성동구 사근동 102-28,180,37.5589948,127.0480281
서울특별시 강남구 신사동 668-31,179,37.5223206,127.0277019
서울특별시 강북구 미아동 231,176,37.628995,127.0257543
서울특별시 강남구 논현동 279-23,175,37.5123018,127.0294935
서울특별시 마포구 합정동 404,174,37.54678,126.9084
서울특별시 서초구 방배동 970-33,172,37.4798789,126.9939103
서울특별시 강남구 논현동 105-7,169,37.5123018,127.0294935
서울특별시 성동구 성수동2가 289-30,169,37.54048,127.05601
서울특별시 강남구 대치동 1011-19,168,37.49882,127.06566
서울특별시 성동구 성수동1가 676-8,166,37.5435,127.03742
서울특별시 송파구 문정동 647-3,164,37.48434,127.12246
서울특별시 서초구 서초동 1374,164,37.48818,127.01751
서울특별시 마포구 서교동 427,164,37.5550711,126.9238244
서울특별시 동작구 대방동 466-10,162,37.5067997,126.9291349
서울특별시 동대문구 회기동 32,160,37.5930099,127.0517269
서울특별시 성동구 사근동 102-17,160,37.5589948,127.0480281
서울특별시 성동구 사근동 110,159,37.5589948,127.0480281
서울특별시 마포구 동교동 192-6,154,37.5571419,126.9261901
서울특별시 서초구 서초동 1398,146,37.48818,127.01751
서울특별시 성동구 성수동2가 277-43,143,37.54048,127.05601
서울특별시 관악구 봉천동 1693-39,142,37.484665,126.9484961
서울특별시 강남구 대치동 892,141,37.49882,127.06566
서울특별시 마포구 합정동 407,140,37.54678,126.9084
서울특별시 중구 중림동 728-1,140,37.5567609,126.9663037
서울특별시 양천구 목동 901-8,133,37.53608,126.87585
서울특별시 송파구 장지동 839,132,37.4798337,127.1310225
서울특별시 동작구 신대방동 395-61,131,37.4955756,126.9195788
서울특별시 성동구 성수동1가 694-3,129,37.5435,127.03742
서울특별시 노원구 중계동 391-1,129,37.64802,127.07678
서울특별시 성동구 성수동2가 309-51,129,37.54048,127.05601
서울특별시 마포구 망원동 452-1,128,37.55586,126.90087
서울특별시 광진구 군자동 498,125,37.5532345,127.071936
서울특별시 강남구 논현동 279-159,125,37.5101462,127.0358339
서울특별시 강남구 대치동 1012-40,124,37.49882,127.06566
서울특별시 성동구 성수동2가 289-32,123,37.54048,127.05601
서울특별시 송파구 문정동 642-3,122,37.48434,127.12246
서울특별시 강남구 삼성동 172-66,121,37.5147838,127.0543618
서울특별시 성동구 성수동2가 276-5,121,37.54048,127.05601
서울특별시 동작구 신대방동 722,121,37.4955756,126.9195788
