순번,주소,상세위치,거치대 유무,location,lat,lng
1,서울특별시 종로구 팔판동 115-63,청와대 춘추문 맞은편,Y,,37.5831922,126.9799488
2,서울특별시 종로구 연건동 218-1,KT 광화문 혜화지사 앞,Y,"연건동, 이화동, 종로구, 서울특별시, 03080, 대한민국",37.5784056,126.9999208
3,서울특별시 종로구 연건동 178-3,홍익대학교 대학로 맞은편,Y,"연건동, 이화동, 종로구, 서울특별시, 03080, 대한민국",37.5784056,126.9999208
4,서울특별시 종로구 동승동 1-24,대학로 마로니에 공원 앞,Y,,,
5,서울특별시 종로구 와룡동 75-4,연악사 맞은편,Y,"와룡동, 순천시, 전라남도, 57919, 대한민국",37.581572,126.9922844
6,서울특별시 종로구 명륜4가 96-4,흥사단 동숭 미술관 맞은편,Y,"명륜4가, 혜화동, 종로구, 서울특별시, 03079, 대한민국",37.58214,126.99977
7,서울특별시 종로구 소격동 165-5,국립현대미술관 ,Y,"소격동, 삼청동, 종로구, 서울특별시, 03053, 대한민국",37.57962,126.98073
8,서울특별시 종로구 신문로1가 5-4,새문안교회 앞,Y,"신문로1가, 사직동, 종로구, 서울특별시, 03182, 대한민국",37.57017,126.97417
9,서울특별시 종로구 신문로 2가 58,(구)경찰박물관 앞,Y,,37.5690125,126.9696691
10,서울특별시 종로구 무악동 41-7,무악현대아파트 앞,Y,"무악동, 종로구, 서울특별시, 03024, 대한민국",37.57672,126.95812
11,서울특별시 종로구 사직동 45-4,사직공원 맞은편,Y,"사직동, 종로구, 서울특별시, 대한민국",37.5738317,126.9703041
12,서울특별시 종로구 내자동 186-3,서울경찰청 민원봉사실 앞,Y,"내자동, 사직동, 종로구, 서울특별시, 03169, 대한민국",37.57522,126.97146
13,서울특별시 종로구 적선동 8-1,경복궁역 4번출구 근처,Y,"적선동, 사직동, 종로구, 서울특별시, 03170, 대한민국",37.5751085,126.9735739
14,서울특별시 종로구 세종로 84-8,광화문역 2번 출구 근처,Y,"세종로, 사직동, 종로구, 서울특별시, 03171, 대한민국",37.5757452,126.9766915
15,서울특별시 종로구 공평동 100-19,종각역 2번 출구 근처,Y,"공평동, 종로1·2·3·4가동, 종로구, 서울특별시, 03150, 대한민국",37.57144,126.98279
16,서울특별시 종로구 서린동 26-1,종각역 5번 출구 근처,Y,"서린동, 종로1·2·3·4가동, 종로구, 서울특별시, 03188, 대한민국",37.56925,126.97959
17,서울특별시 종로구 종로2가 84-11,YBM 어학원 앞,Y,"종로2가, 종로1·2·3·4가동, 종로구, 서울특별시, 03140, 대한민국",37.5709125,126.9882267
18,서울특별시 중구 중구 을지로 178,을지로4가역 9~10번 출구,Y,"을지로4가, 178, 을지로, 을지로5가, 을지로동, 중구, 서울특별시, 04546, 대한민국",37.5666425,126.9981685
19,서울특별시 중구 중구 을지로 2가 206,IBK파이낸스타워 출입구 앞,Y,,37.5657598,126.9870982
20,서울특별시 중구 중구 을지로 42,을지로입구역 7번 출구,Y,"을지로입구, 42, 을지로, 을지로1가, 명동, 중구, 서울특별시, 04533, 대한민국",37.5659494,126.9826171
21,서울특별시 중구 중구 을지로 50,을지로입구역 6번 출구,Y,"을지로, 을지로2가, 명동, 중구, 서울특별시, 04539, 대한민국",37.5661276,126.9850852
22,서울특별시 용산구 이태원동 127-6,이태원역 3번출구,Y,"이태원동, 이태원2동, 용산구, 서울특별시, 04344, 대한민국",37.53842,126.992
23,서울특별시 용산구 용문동 5-157,효창공원앞역 5번출구,Y,"용문동, 용산구, 서울특별시, 대한민국",37.5380978,126.9586211
